x_m,y_m,s_m,v_mps,v_kph,gear,rpm,curvature_1pm,section_type,camber_rad,grade_rad,limit
210.0,-83.0,645.7749077049532,34.987399715489744,125.95463897576307,6,6162.392219067387,0.0,straight,0.0,0.0,stoppie
210.0,-84.0,646.7749077049532,34.64925403673646,124.73731453225125,6,6102.834026214948,0.0,straight,0.0,0.0,stoppie
210.0,-85.0,647.7749077049532,34.30777372883955,123.50798542382238,6,6042.6884992692285,0.0,straight,0.0,0.0,stoppie
210.0,-86.0,648.7749077049532,33.96285808706398,122.26628911343032,6,5981.937900928209,0.0,straight,0.0,0.0,stoppie
210.0,-87.0,649.7749077049532,33.61440123022021,121.01184442879276,6,5920.56358215184,0.0,straight,0.0,0.0,stoppie
210.0,-88.0,650.7749077049532,33.26797444980964,119.76470801931471,6,5859.546824306485,0.0,straight,0.0,0.0,braking
210.0,-89.0,651.7749077049532,32.95193893370512,118.62698016133844,6,5803.8829332706155,0.0,straight,0.0,0.0,braking
210.0,-90.0,652.7749077049532,32.71770739417584,117.78374661903302,6,5762.627320438765,0.0,straight,0.0,0.0,braking
209.99433510792306,-91.00977645191813,653.7847000468981,32.59455306567699,117.34039103643717,6,5740.935932057315,0.011111111111111112,corner,0.0,0.0,corner
209.97734114482557,-92.01942578662245,654.7944923888431,32.55527430742052,117.19898750671386,6,5734.017695314296,0.011111111111111112,corner,0.0,0.0,corner
209.949020250018,-93.02882090290146,655.804284730788,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
209.90937598871832,-94.03783473154634,656.814077072733,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
209.85841335160347,-95.04634025134726,657.8238694146779,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
209.79613875418104,-96.05421050508357,658.8336617566229,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
209.72256003598153,-97.06131861550604,659.8434540985678,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
209.6376864595715,-98.06753780130902,660.8532464405127,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
209.5415287093877,-99.0727413930904,661.8630387824577,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
209.43409889039185,-100.0768028492977,662.8728311244026,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
209.31541052654677,-101.07959577215786,663.8826234663476,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
209.18547855911413,-102.08099392358899,664.8924158082925,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
209.0443193447733,-103.08087124109214,665.9022081502375,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
208.8919506535624,-104.07910185362078,666.9120004921824,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
208.72839166664124,-105.07556009742628,667.9217928341274,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
208.55366297387667,-106.0701205318773,668.9315851760723,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
208.36778657125066,-107.06265795525107,669.9413775180172,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
208.17078585809122,-108.05304742049455,670.9511698599622,32.549654376045225,117.17875575376281,6,5733.027846921435,0.011111111111111112,corner,0.0,0.0,corner
