x_m,y_m,v_mps
-286.434108527132,-232.075471698113,32.470935910313536
-292.635658914729,-221.69811320754735,33.56928490109904
-298.837209302326,-211.32075471698167,34.63281823142066
-305.038759689923,-200.943396226416,35.664650685659176
-310.5943152454783,-191.9811320754727,36.54085766561812
-316.14987080103367,-183.01886792452933,37.396540606690294
-321.705426356589,-174.056603773586,38.233077560624245
-327.390180878553,-164.62264150943568,39.087777714003515
-333.074935400517,-155.18867924528533,39.924184568779744
-338.759689922481,-145.754716981135,40.74342474982474
-345.3488372093025,-135.613207547171,41.62440649285497
-351.937984496124,-125.471698113207,42.48712477233807
-357.170542635659,-116.745283018869,43.199601650320915
-362.403100775194,-108.018867924531,43.90051701372771
-367.829457364341,-99.29245283019034,43.54384430884698
-373.255813953488,-90.5660377358497,42.1040933264171
-380.42635658914696,-77.83018867924535,39.967065665348116
-387.596899224806,-65.094339622641,37.709123577151125
-391.7312661498707,-55.50314465408827,37.34121219985136
-395.8656330749353,-45.91194968553553,35.62350599109639
-400.0,-36.3207547169828,33.81866688148769
-403.4883720930235,-24.528301886794548,34.892517261024416
-406.976744186047,-12.7358490566063,35.93429131040073
-409.68992248062045,0.9433962264121991,37.080285975621614
-412.403100775194,14.6226415094307,38.19190914430726
-414.728682170543,31.6037735849045,39.51531031631943
-415.31007751938,42.6886792452816,40.34923297704445
-415.891472868217,53.7735849056587,41.166265974418934
-415.891472868217,65.5660377358474,42.016855799282915
-415.891472868217,77.3584905660361,42.074935557639755
-414.72868217054247,91.27358490565854,40.03419894036843
-413.565891472868,105.188679245281,37.8836899920593
-410.8527131782945,118.63207547169651,38.954597793275
-408.139534883721,132.075471698112,39.99684251359345
-404.0697674418605,145.7547169811305,41.05335933452813
-400.0,159.433962264149,42.08336030122333
-395.348837209302,171.4622641509415,42.992868442672126
-390.697674418604,183.490566037734,43.88353061930234
-382.558139534884,200.471698113206,44.99273509956962
-376.356589147287,210.849056603772,45.79171782778533
-370.93023255813966,220.44025157232534,46.50806729623865
-365.50387596899236,230.03144654087865,46.16897175924344
-360.077519379845,239.622641509432,44.713936857336975
-354.26356589147304,249.999999999998,43.08823327700206
-348.449612403101,260.377358490564,41.39873844194745
-341.4728682170545,272.4056603773565,39.33183143369278
-334.496124031008,284.433962264149,37.150106100414696
-327.90697674418595,295.75471698113,34.970641923598485
-321.317829457364,307.075471698111,32.64599837384391
-311.24031007752,324.056603773583,28.78899008693279
-305.42635658914764,334.90566037735664,26.09792244125913
-299.61240310077534,345.75471698113034,23.095392641703214
-293.798449612403,356.603773584904,19.639062268827942
-288.372093023256,363.679245283017,16.694079639366755
-281.39534883721,367.924528301885,17.98607184841057
-272.868217054264,370.283018867923,14.742162628361708
-266.666666666667,369.339622641508,13.60830453714512
-260.077519379845,364.622641509432,15.29074801486306
-256.589668600741,360.849056603772,16.26771278294077
-252.326363366228,345.283018867923,19.012478390486745
-251.550387596899,331.132075471696,21.13072531760543
-251.937984496124,317.924528301885,22.930044747067537
-251.162790697675,299.999999999998,25.168127679051842
-248.449612403101,286.792452830187,26.72704119750822
-244.186046511628,273.113207547168,28.289652525951073
-236.434108527132,257.075471698112,30.11946538268981
-228.294573643411,244.339622641508,31.589085773480107
-220.542635658914,234.433962264149,32.76187392494812
-211.627906976744,225.471698113206,33.89965056401065
-201.162790697674,216.509433962262,35.09780552999059
-188.759689922483,207.547169811319,36.382269013906615
-173.255813953491,197.64150943396,37.86896428935001
-158.139534883719,189.150943396225,39.21841306388296
-148.83720930232448,185.1415094339605,39.98576660361134
-139.53488372093,181.132075471696,39.45019192726069
-129.8449612403105,177.83018867924352,39.274354409365664
-120.155038759691,174.528301886791,37.67798290149741
-109.49612403100855,171.9339622641495,38.54154883463244
-98.8372093023261,169.339622641508,39.38618511126945
-81.3953488372083,166.037735849055,40.71586246808638
-63.9534883720945,163.679245283017,38.81134375920853
-53.48837209302465,163.44339622641348,39.612208292585954
-43.0232558139548,163.20754716981,40.39719900234391
-28.10077519380015,163.6792452830175,41.49112303587055
-13.1782945736455,164.150943396225,42.55693708810022
-2.325581395350534,164.30817610062732,43.315309151995635
8.527131782944432,164.46540880502965,44.06063004026831
19.3798449612394,164.622641509432,44.793551234054114
29.97416020671763,165.2515723270423,45.49879157105827
