x_m,y_m,s_m,v_mps,v_kph,gear,rpm
-93.93201189,107.2963904,396.2538273,19.95392942,71.83414591,1,9668.864417
-97.01430916,112.2153253,402.058694,19.47341668,70.10430004,1,9436.027443
-101.5840284,116.256968,408.1592849,19.1005832,68.76209951,1,9255.36747
-106.6916054,119.5931136,414.2598759,18.51798608,66.6647499,1,8973.064551
-112.2290322,122.1532139,420.3604668,17.68619782,63.67031217,1,8570.013717
-118.9929558,122.6520576,427.1427604,16.87714181,60.75771052,1,8177.978006
-125.6441643,121.3250566,433.9250541,16.37631986,58.95475151,1,7935.300015
-130.5376953,118.8177517,439.4235286,16.23879851,58.45967463,1,7868.662747
-134.7054051,115.2311911,444.9220032,16.3662801,58.91860837,1,7930.435154
-137.9141022,110.7660499,450.4204778,16.74046926,60.26568935,1,8111.752036
-140.1699357,105.546434,456.1067046,17.52461659,63.08861971,1,8491.718006
-141.1638204,99.94774056,461.7929314,18.92845264,68.1424295,1,9171.959986
-140.8423869,94.27060611,467.4791582,20.9939872,75.57835392,1,10172.83421
-139.2228956,88.81987929,473.1653849,23.52697619,84.69711427,1,11400.21788
-136.2781105,80.95238415,481.5659349,26.19653583,94.30752901,1,12693.77815
-133.8586569,74.72755969,488.2444224,28.6287233,103.0634039,1,13872.31749
-131.3701353,68.53002341,494.9229099,30.32759735,109.1793505,1,14695.52291
-127.9345527,60.45548893,503.6979503,30.73615309,110.6501511,1,14893.49244
-124.3353709,51.34575772,513.492914,29.78247773,107.2169198,1,14431.38006
-122.7978798,46.50882629,518.5683238,28.12029742,101.2330707,1,13625.95494
-121.4881323,41.60532284,523.6437336,26.48287261,95.33834141,1,12832.52533
-120.4089908,36.64596418,528.7191434,25.16089426,90.57921933,1,12191.94827
-120.1515562,30.59623195,534.7743504,24.17052216,87.01387977,1,11712.05414
-120.6448826,24.56115433,540.8295575,23.40939787,84.27383234,1,11343.2442
-121.8813834,18.63354111,546.8847646,22.58380129,81.30168463,1,10943.1936
-123.9978944,12.47167319,553.3999956,21.35683074,76.88459066,1,10348.65346
-126.9049148,6.640938456,559.9152266,19.68409703,70.86274929,1,9538.11459
-130.5521395,1.242236074,566.4304576,17.85467399,64.27682638,1,8651.650431
-134.7769528,-2.081857422,571.8062037,16.23921019,58.46115667,1,7868.86223
