s_m,v_const_mps,v_trac_mps,R_m
2051.071661723163,24.78537116043895,24.56930344452791,999999999.9999999
2052.060688628701,25.13521156980207,24.922177048710736,999999999.9999999
2053.049715534239,25.48024916983162,25.27012358389403,999999999.9999999
2054.0387424397773,25.820676498780934,25.613343847363435,999999999.9999999
2055.0277693453154,26.15667356436386,25.952025357209855,999999999.9999999
2056.0167962508535,26.488408956573522,26.286343550202194,999999999.9999999
2057.0058231563917,26.816040836571634,26.616462844210716,999999999.9999999
2057.99485006193,27.13971781811061,26.942537583443077,999999999.9999999
2058.983876967468,27.459579755427132,27.264712881914523,999999999.9999999
2059.972903873006,27.775758449458344,27.583125378231323,999999999.9999999
2060.9619307785442,28.08837828249701,27.8979039128251,999999999.9999999
2061.9509576840824,28.39755678995365,28.209170137159568,999999999.9999999
2062.9399845896205,28.703405176679574,28.517039063079608,999999999.9999999
2063.9290114951586,29.006028784282567,28.821619559337766,999999999.9999999
2064.918038400697,29.30552751500341,29.123014801376495,999999999.9999999
2065.907065306235,29.495527363307854,29.421322679634706,999999999.9999999
2066.896092211773,29.098118237708288,29.098118237708288,999999999.9999999
2067.885119117311,28.69520579315752,28.69520579315752,999999999.9999999
2068.8741460228493,28.286554863533137,28.286554863533137,72.23811258706495
2069.856147179509,27.99338246262187,27.99338246262187,70.74846695737683
2070.8243810603976,28.29711178843792,28.118407754007944,999999999.9999999
2071.785873383333,28.595534039527056,28.41870662185477,999999999.9999999
2072.7473657062687,28.890873964699452,28.71586525768378,999999999.9999999
2073.7088580292043,29.183225145321874,29.00998016090064,999999999.9999999
2074.67035035214,29.472676521160157,29.30114298750557,999999999.9999999
2075.6318426750754,29.759312706434322,29.589440883745084,999999999.9999999
2076.593334998011,30.04321427873092,29.87495679078119,999999999.9999999
2077.5548273209465,30.32445804356839,30.15776972339701,999999999.9999999
2078.516319643882,30.60311727707715,30.437955025392878,999999999.9999999
2079.4778119668176,30.87926194896724,30.715584604012303,999999999.9999999
2080.439304289753,31.152958927705956,30.99072714546459,999999999.9999999
2081.4007966126887,31.42427216961011,31.263448313374422,999999999.9999999
2082.3622889356243,31.6932628933679,31.533810931782924,999999999.9999999
2083.32378125856,31.959989741339545,31.801875154145083,999999999.9999999
2084.2852735814954,32.22450892884059,32.06769861961143,999999999.9999999
2085.246765904431,32.486874382484466,32.3313365977441,999999999.9999999
2086.2082582273665,32.747137868548506,32.59284212269659,999999999.9999999
2087.169750550302,33.00534911222909,32.85226611777981,999999999.9999999
2088.1312428732376,33.261555908563864,33.10965751124318,999999999.9999999
2089.092735196173,33.5158042257219,33.3650633440163,999999999.9999999
2090.0542275191087,33.76813830129396,33.61852887008321,999999999.9999999
2091.0157198420443,33.60485060756611,33.60485060756611,999999999.9999999
2091.97721216498,33.26632845845238,33.26632845845238,999999999.9999999
2092.9387044879154,32.92432586788134,32.92432586788134,999999999.9999999
2093.900196810851,32.57873322588284,32.57873322588284,999999999.9999999
2094.8616891337865,32.22943504549909,32.22943504549909,999999999.9999999
2095.823181456722,31.876309511937656,31.876309511937656,999999999.9999999
2096.7846737796576,31.519227986257047,31.519227986257047,999999999.9999999
2097.746166102593,31.15805445785169,31.15805445785169,999999999.9999999
2098.7076584255287,30.79264493912879,30.79264493912879,85.60522372984589
2099.6489465855007,31.061362633922457,30.90318977931187,458.5438536554176
2100.5665724604714,31.3211060848155,31.164251575104416,999999999.9999999
2101.4807126676033,31.5777385851774,31.422165170686966,999999999.9999999
2102.394852874735,31.832302177683232,31.677978972647043,999999999.9999999
2103.308993081867,32.08484610698439,31.931743447062257,999999999.9999999
2104.2231332889987,32.335417694633335,32.18350707033866,999999999.9999999
2105.1372734961305,32.584062442610524,32.43331643733144,999999999.9999999
2106.0514137032624,32.830824129794195,32.68121636202681,999999999.9999999
2106.965553910394,33.07574490195213,32.92724997140126,999999999.9999999
2107.879694117526,33.31886535577926,33.17145879301481,999999999.9999999
2108.793834324658,33.165809482324335,33.165809482324335,999999999.9999999
2109.7079745317897,32.83973814726788,32.83973814726788,999999999.9999999
2110.6221147389215,32.51039656086046,32.51039656086046,999999999.9999999
2111.5362549460533,32.17768430928015,32.17768430928015,999999999.9999999
2112.450395153185,31.84149573231415,31.84149573231415,999999999.9999999
2113.364535360317,31.501719531388545,31.501719531388545,999999999.9999999
2114.2786755674488,31.158238339122338,31.158238339122338,999999999.9999999
2115.1928157745806,30.810928245686455,30.810928245686455,999999999.9999999
2116.1069559817124,30.459658276548765,30.459658276548765,999999999.9999999
2117.0210961888442,30.104289815363728,30.104289815363728,999999999.9999999
2117.935236395976,29.74467596479576,29.74467596479576,999999999.9999999
2118.849376603108,29.38066083691762,29.38066083691762,999999999.9999999
2119.7635168102397,29.012078763461112,29.012078763461112,999999999.9999999
2120.6776570173715,28.63875341457022,28.63875341457022,999999999.9999999
2121.5917972245034,28.260496812756916,28.260496812756916,999999999.9999999
2122.505937431635,27.877108226412766,27.877108226412766,999999999.9999999
2123.420077638767,27.488372924391445,27.488372924391445,68.21884249661419
2124.3648364266464,27.790163668226096,27.612604890676447,192.37166752848918
2125.3527025664284,28.10225857476693,27.92668417741133,999999999.9999999
2126.3530186442213,28.414794004263406,28.241162696435477,999999999.9999999
2127.353334722014,28.72392904193968,28.55217770588088,999999999.9999999
2128.353650799807,29.02977231925955,28.859841181993072,999999999.9999999
2129.3539668775998,29.332426803960665,29.164259194286515,999999999.9999999
2130.3542829553926,29.631990205036384,29.465532332764457,999999999.9999999
2131.3545990331854,29.928555341229462,29.76375609621289,999999999.9999999
2132.3549151109783,30.222210476976972,30.059021245817576,999999999.9999999
2133.355231188771,30.513039629252912,30.35141412781577,999999999.9999999
2134.355547266564,30.801122848331694,30.641016968433615,999999999.9999999
2135.3558633443567,31.086536475131528,30.92790814396439,999999999.9999999
2136.3561794221496,31.36935337748206,31.212162428501507,999999999.9999999
2137.3564954999424,31.649643167388277,31.49385122154519,999999999.9999999
2138.3568115777352,31.927472401126114,31.773042757445904,999999999.9999999
2139.357127655528,32.20290476379937,32.0498022984253,999999999.9999999
2140.357443733321,32.47600123980775,32.32419231272159,999999999.9999999
2141.3577598111137,32.74682027051874,32.59627263923702,999999999.9999999
2142.3580758889066,33.015417900298026,32.866100639916716,999999999.9999999
2143.3583919666994,33.28184791193214,33.13373134095821,999999999.9999999
2144.3587080444922,32.96451238871239,32.96451238871239,999999999.9999999
2145.359024122285,32.60533139365437,32.60533139365437,999999999.9999999
2146.359340200078,32.24214933211608,32.24214933211608,999999999.9999999
2147.3596562778707,31.874829439840514,31.874829439840514,999999999.9999999
2148.3599723556636,31.50322697888859,31.50322697888859,139.57716468294268
2149.466796683061,31.086882090668407,31.086882090668407,1620.4101745843432
2150.692612517328,30.619170957377907,30.619170957377907,999999999.9999999
2151.9308942217417,30.139335189556203,30.139335189556203,999999999.9999999
2153.1691759261553,29.65173555156101,29.65173555156101,999999999.9999999
2154.407457630569,29.155982521105226,29.155982521105226,999999999.9999999
2155.6457393349824,28.651652872430933,28.651652872430933,999999999.9999999
2156.884021039396,28.138285446586224,28.138285446586224,999999999.9999999
2158.1223027438095,27.61537621371203,27.61537621371203,999999999.9999999
2159.360584448223,27.082372476873925,27.082372476873925,999999999.9999999
2160.5988661526367,26.538666027655285,26.538666027655285,999999999.9999999
2161.8371478570502,25.98358501205542,25.98358501205542,999999999.9999999
2163.075429561464,25.416384196616114,25.416384196616114,999999999.9999999
2164.3137112658774,24.836233232543208,24.836233232543208,999999999.9999999
2165.551992970291,24.242202390306247,24.242202390306247,999999999.9999999
2166.7902746747045,23.633245064608793,23.633245064608793,999999999.9999999
2168.028556379118,23.008176108399855,23.008176108399855,999999999.9999999
2169.2668380835316,22.365644712067397,22.365644712067397,999999999.9999999
2170.505119787945,21.70410004901642,21.70410004901642,999999999.9999999
2171.7434014923588,21.021747179742245,21.021747179742245,999999999.9999999
2172.9816831967723,20.31648960918907,20.31648960918907,999999999.9999999
2174.219964901186,19.585853200500953,19.585853200500953,999999999.9999999
2175.4582466055995,18.82688346866946,18.82688346866946,999999999.9999999
2176.696528310013,18.036003900369554,18.036003900369554,999999999.9999999
2177.9348100144266,17.20881553871248,17.20881553871248,999999999.9999999
2179.17309171884,16.33980501097606,16.33980501097606,999999999.9999999
2180.4113734232537,15.421904011762125,15.421904011762125,999999999.9999999
2181.6496551276673,14.445795890129803,14.445795890129803,999999999.9999999
2182.887936832081,13.398765407699962,13.398765407699962,999999999.9999999
2184.1262185364944,12.26265917335482,12.26265917335482,999999999.9999999
2185.364500240908,11.009936673439563,11.009936673439563,999999999.9999999
2186.6027819453216,9.595030021028375,9.595030021028375,999999999.9999999
2187.841063649735,7.931613748520671,7.931613748520671,25.353996066876878
2188.96268485421,6.041775154503448,6.041775154503448,3.295606842254867
2189.708740013859,7.048183384862861,6.473687631174211,999999999.9999999
2190.2061083924677,7.6458760031886115,7.119772635098437,999999999.9999999
2190.7034767710766,8.200118943382103,7.711918905497848,999999999.9999999
2191.2008451496854,8.71920188521245,8.261732508042938,999999999.9999999
2191.698213528294,9.209072284685952,8.77717237291897,999999999.9999999
2192.195581906903,9.674168862183947,9.263977854756051,999999999.9999999
2192.692950285512,10.117908578531829,9.726449327626657,999999999.9999999
2193.1903186641207,10.542988420415083,10.167907717537942,999999999.9999999
2193.6876870427295,10.951581422903503,10.590980982980104,999999999.9999999
2194.1850554213383,11.345468985104304,10.997791096912362,999999999.9999999
2194.682423799947,11.726133093285368,11.390080765332764,999999999.9999999
2195.179792178556,12.09482236954809,11.769302046862506,999999999.9999999
2195.677160557165,12.452600490676605,12.136680003187045,999999999.9999999
2196.1745289357737,12.800382408735992,12.493259475782887,999999999.9999999
2196.6718973143825,12.655250877667598,12.655250877667598,999999999.9999999
2197.1692656929913,12.183814413833423,12.183814413833423,999999999.9999999
2197.6666340716,11.693386702096344,11.693386702096344,999999999.9999999
2198.164002450209,11.181469110040602,11.181469110040602,999999999.9999999
2198.661370828818,10.644961735620319,10.644961735620319,999999999.9999999
2199.1587392074266,10.079938950551716,10.079938950551716,999999999.9999999
2199.6561075860354,9.48130413713632,9.48130413713632,999999999.9999999
2200.1534759646443,8.842233147509,8.842233147509,999999999.9999999
2200.650844343253,8.153223039322272,8.153223039322272,999999999.9999999
2201.148212721862,7.400338155987472,7.400338155987472,999999999.9999999
2201.6455811004707,6.561628130044602,6.561628130044602,999999999.9999999
2202.1429494790796,5.598653642709218,5.598653642709218,2.8299155787486594
2202.762210241811,6.502294145863681,5.985967859986894,17.56741595760286
2203.5561593995985,7.503291503569929,7.060549939559075,999999999.9999999
2204.3956030871386,8.433402636073266,8.042030967584651,999999999.9999999
2205.2350467746787,9.270662147695315,8.916117917466867,999999999.9999999
2206.074490462219,10.038330204336464,9.711851283496713,999999999.9999999
2206.913934149759,10.751324101052699,10.447150424270706,999999999.9999999
2207.753377837299,11.17258576713503,11.133995177918957,999999999.9999999
2208.592821524839,10.25001514850317,10.25001514850317,999999999.9999999
2209.432265212379,9.235742978510196,9.235742978510196,999999999.9999999
2210.2717088999193,8.095374369703734,8.095374369703734,999999999.9999999
2211.1111525874594,6.765443371000332,6.765443371000332,4.132366236183698
2212.0269790685984,7.870380423471564,7.239260747632445,8.060026625279194
2213.1121671295136,9.005839149674447,8.459855019553018,999999999.9999999
2214.2839743524987,10.089445511685813,9.605254754316745,999999999.9999999
2215.455781575484,11.0674605342303,10.627920344018046,999999999.9999999
2216.627588798469,11.965803550961937,11.560469833975636,999999999.9999999
2217.799396021454,12.801258788247395,12.42321354262771,999999999.9999999
2218.971203244439,12.051710902109425,12.051710902109425,999999999.9999999
2220.143010467424,10.846875421524201,10.846875421524201,999999999.9999999
2221.314817690409,9.490293839081493,9.490293839081493,999999999.9999999
2222.4866249133943,7.904217095585797,7.904217095585797,999999999.9999999
2223.6584321363794,5.906574187817621,5.906574187817621,3.1497610221979495
2224.784792930466,7.2552176825562125,6.561153022297921,4.75233637407374
2225.9155732108497,8.520886210500052,7.722027424516543,999999999.9999999
2227.0764269274464,9.649033979624726,8.951427957183604,999999999.9999999
2228.237280644043,10.658433828082584,10.031271973200152,999999999.9999999
2229.3981343606397,11.580179903407279,11.00567000813551,999999999.9999999
2230.5589880772363,12.433781465143277,11.90055155258092,999999999.9999999
2231.719841793833,13.232432748765556,12.73269343789046,999999999.9999999
2232.8806955104296,13.98555080711038,13.513690728700334,999999999.9999999
2234.0415492270263,13.394999904361287,13.394999904361287,999999999.9999999
2235.202402943623,12.332675400507739,12.332675400507739,999999999.9999999
2236.3632566602196,11.169769139545298,11.169769139545298,999999999.9999999
2237.524110376816,9.870795445514425,9.870795445514425,999999999.9999999
2238.684964093413,8.37266163317487,8.37266163317487,999999999.9999999
2239.8458178100095,6.539902363192306,6.539902363192306,3.861435698587788
2240.8962337099265,7.830617273294921,7.097969447180619,10.479842978942136
2241.835756232732,8.826587992453474,8.183596946380522,999999999.9999999
2242.757188950803,9.704602749429139,9.123700889250609,999999999.9999999
2243.6786216688743,10.5095182315809,9.97559907234729,999999999.9999999
